RT,113050
the,65337
to,53764
a,41459
and,37416
of,33956
I,32824
is,30908
you,28322
in,28271
for,26160
on,17538
this,17029
that,15489
my,15054
with,13577
are,13236
be,12606
it,11507
your,11057
have,10547
me,10392
i,10019
The,9743
at,9344
so,9068
not,8944
was,8448
like,8114
just,7676
but,7623
all,7518
will,7466
from,7386
-,7011
we,7001
as,6917
about,6795
&amp;,6209
by,6209
who,6202
he,6152
can,6115
they,5871
has,5815
when,5676
This,5641
his,5575
do,5490
get,5437
if,5423
up,5386
one,5168
out,5040
what,4913
how,4866
an,4790
know,4691
people,4528
You,4324
our,4222
A,4209
no,4049
want,3923
I’m,3914
her,3830
their,3818
love,3788
or,3786
If,3764
more,3656
We,3631
been,3337
time,3334
think,3181
need,3148
My,3083
don’t,3080
now,3047
see,2965
some,2913
only,2839
really,2833
I'm,2801
because,2736
than,2628
u,2622
make,2622
good,2617
new,2607
would,2565
today,2554
she,2535
day,2494
got,2477
go,2412
am,2375
had,2365
never,2364
going,2354
after,2345
someone,2338
them,2302
over,2276
him,2226
don't,2199
back,2192
still,2156
it’s,2128
first,2118
why,2115
us,2112
being,2109
say,2089
What,2057
It,2044
even,2038
should,2008
said,1978
He,1935
there,1923
best,1910
way,1906
And,1897
Just,1862
did,1829
When,1818
then,1817
always,1790
too,1789
could,1773
So,1758
In,1745
.,1744
feel,1744
last,1740
into,1735
much,1727
right,1717
look,1716
were,1710
It’s,1685
here,1685
3,1676
take,1668
these,1658
other,1646
person,1646
2,1635
it's,1633
life,1628
ever,1616
To,1615
any,1614
Thank,1595
made,1579
Trump,1569
work,1560
most,1559
every,1558
many,1542
No,1542
Biden,1542
How,1536
help,1527
THE,1526
very,1513
They,1504
shit,1500
:,1479
years,1477
More,1469
its,1465
getting,1435
tell,1433
where,1429
t…,1428
It's,1417
man,1415
give,1406
vote,1406
Good,1395
@BTS_twt,1391
can’t,1369
But,1360
1,1360
please,1356
you’re,1346
you're,1344
also,1335
March,1296
im,1296
Bernie,1270
everyone,1267
thing,1260
before,1251
come,1250
off,1249
those,1248
stop,1243
better,1227
which,1215
video,1214
may,1206
doing,1204
while,1194
something,1190
it.,1187
",",1186
For,1177
happy,1164
keep,1161
live,1150
2020,1150
morning,1148
same,1140
old,1134
wanna,1134
YOU,1131
does,1130
lot,1126
gonna,1122
year,1122
a…,1118
New,1111
show,1109
can't,1103
things,1101
let,1101
i’m,1101
you.,1100
Me,1099
against,1092
Joe,1077
Please,1073
😂,1065
real,1062
All,1060
two,1054
Why,1054
great,1053
One,1046
down,1040
fuck,1036
big,1030
hope,1030
Do,1021
since,1021
world,1017
ON,1003
4,999
On,995
Your,992
trying,992
next,983
actually,972
As,965
5,964
part,953
top,952
says,947
through,946
end,943
coronavirus,936
That,931
10,930
|,924
find,923
support,922
put,922
Love,922
@realDonaldTrump,922
Is,921
fucking,918
TO,917
saying,915
week,914
She,914
believe,912
hate,911
...,910
Super,910
IS,908
God,908
There,907
little,903
around,902
friends,899
another,889
me.,887
🗳️,887
Not,886
Happy,882
having,881
I’ve,876
!,870
use,866
women,865
own,864
AND,860
bad,859
the…,852
via,848
away,841
looking,839
—,839
without,836
miss,836
follow,835
again,835
coming,835
song,834
Now,832
home,829
days,829
talk,826
hard,823
🥺,823
call,812
😭,812
y’all,807
sure,796
THIS,795
start,792
1.,791
didn’t,790
everything,790
"you,",788
Are,786
night,785
beautiful,775
well,766
tweet,765
hours,764
media,763
long,762
such,761
must,756
used,753
saw,752
heart,748
th…,748
Who,747
win,747
already,743
Our,742
thought,739
during,737
US,736
makes,734
?,732
hands,731
thank,727
mean,725
play,724
full,724
doesn’t,723
place,722
lol,721
read,719
until,719
girl,717
whole,716
6,715
Tuesday,714
watch,713
guy,712
left,710
each,706
7,705
hear,704
With,703
wants,703
free,700
making,696
anyone,696
@realDonaldTrump:,695
Can,694
guys,692
care,692
game,689
"me,",689
Be,686
watching,682
Sanders,680
done,673
baby,673
ass,665
maybe,665
money,663
family,663
needs,661
looks,658
cause,655
wait,652
both,651
gets,650
ur,648
between,645
different,645
name,644
IN,644
giving,644
try,642
he’s,639
Coronavirus,638
Time,637
school,636
❤️,635
anything,631
went,630
woman,624
to…,624
remember,623
stay,623
called,623
under,623
Follow,623
President,622
Have,621
Don't,619
2.,619
voting,619
nothing,619
post,618
music,618
friend,616
seen,616
SO,616
',615
Get,608
that’s,607
book,607
I've,605
h…,602
few,601
India,601
working,600
social,597
Check,597
Thanks,590
told,589
using,585
OF,583
talking,583
Let's,579
run,573
pay,571
LOVE,567
wish,566
twitter,566
birthday,565
found,564
might,564
World,561
cute,561
understand,561
i…,560
ready,560
together,560
#LifeChangingBook_JeeneKiRaah,559
face,558
tired,555
black,555
single,554
literally,554
FOR,553
taking,551
doesn't,550
#1,549
BTS,549
Of,549
Like,548
else,548
that's,547
virus,545
news,543
Retweet,542
enough,542
and…,542
once,541
I’ll,541
MY,540
Oh,539
he's,539
i'm,536
took,536
feeling,535
hit,533
least,532
!!,531
sorry,530
men,529
Vote,527
country,526
entire,526
sad,525
change,524
matter,523
•,522
wanted,520
yet,517
month,517
bring,516
@JoeBiden,515
100,514
Today,514
thinking,513
ask,513
Twitter,512
🔥,511
came,511
People,510
Great,510
today.,509
share,509
public,508
set,506
dont,506
yourself,506
myself,503
NOT,502
story,500
Don’t,500
ben,499
asked,499
head,499
You're,498
reason,497
retweet,496
Hillary,496
nice,496
girls,494
After,493
bitch,491
Bloomberg,490
I'll,489
team,489
important,488
At,488
fight,485
funny,485
didn't,484
kids,484
@BernieSanders,484
young,483
playing,483
Filter,482
finally,482
Keep,478
kind,478
history,477
started,476
open,476
million,475
isn’t,474
Nashville,474
damn,474
lost,474
s…,473
group,473
health,473
d…,472
now.,470
due,470
candidate,469
American,464
thread,464
this.,463
That's,461
proud,461
#iHeartAwards,460
Day,460
Some,457
three,456
forget,453
Mike,453
//,452
mind,450
South,450
chance,448
eat,448
ARE,447
bit,447
Billboard,446
Democrats,444
beat,442
fans,441
send,441
hot,440
From,439
gotta,439
government,438
20,437
These,437
times,437
crying,436
house,435
high,435
Every,434
o…,434
pretty,433
:),431
waiting,431
Delhi,430
An,430
heard,430
white,429
behind,428
dad,427
comes,426
Here,425
soon,425
Only,425
+,424
w…,423
COVID-19,422
Dear,422
favorite,421
true,420
chart,420
number,420
amazing,419
close,419
checked,418
Most,418
pls,418
Hi,417
words,417
phone,417
fun,416
Song,416
seeing,416
That’s,415
@,414
First,413
wrong,412
state,411
almost,408
side,408
leave,407
8,407
NCT,407
Go,407
boy,406
kill,406
job,405
case,405
power,404
Will,402
His,402
line,401
Warren,401
@BernieSanders:,401
Look,400
ME,400
deserve,400
Top,398
IT,398
idea,396
human,395
bc,394
knows,394
account,394
photo,393
join,393
ago,393
c…,392
daily,391
😂😂,391
small,391
probably,391
takes,390
Make,389
living,389
automatically,388
months,388
rest,386
Never,385
p…,385
able,384
Did,384
relationship,384
listen,383
😍,383
buy,383
Even,382
Since,381
"it,",381
isn't,379
late,378
.@BTS_twt,377
shows,375
special,375
..,374
Democratic,374
toxic,374
Best,373
they’re,373
reading,372
fine,371
check,371
running,371
/,370
fake,370
sleep,369
Let,369
w,369
of…,368
party,368
second,368
Digital,367
WE,367
3.,366
excited,366
#KCLawardxMewGulf,365
Imagine,365
others,365
“I,365
Watch,363
jimin,363
point,361
Clinton,361
b…,360
past,359
we're,359
become,359
life.,359
😂😂😂,358
hand,358
@into_the_brush:,357
),357
far,357
Hey,356
thanks,356
god,356
UK,355
body,353
goes,352
that.,352
won’t,352
calling,351
hair,349
wash,348
daughter,347
Show,347
smile,346
127,346
fact,345
worst,344
followed,344
time.,343
early,343
cannot,343
worth,343
–,342
word,341
mom,341
either,341
album,340
Congratulations,340
asking,339
(,338
cry,338
sex,337
trust,337
songs,336
Texas,336
okay,335
m…,334
likes,334
less,334
we’re,334
Let’s,334
eyes,334
Find,332
won't,332
learn,332
won,331
moment,331
panic,331
ALL,330
Hot,330
sent,330
24,329
protect,327
continue,326
"day,",325
sick,324
@chartdata:,324
break,323
in…,322
answer,322
Indian,322
latest,322
cut,322
weeks,321
U,320
stand,320
BREAKING:,319
Birthday,317
move,317
Two,317
"""I",316
Album,316
meet,315
Come,315
hold,315
crazy,314
fan,314
Beto,314
means,313
ain’t,312
polling,312
biggest,312
rights,312
happens,312
gave,311
Last,310
here:,309
Black,309
knew,309
an…,309
hits,309
#VakeelSaab,308
him.,308
turn,308
created,308
I…,307
cant,306
9,306
"now,",306
questions,306
Take,305
Its,305
drop,305
wake,304
Sales,303
I’d,303
followers,302
=,302
There's,302
guess,302
ppl,302
information,302
2nd,302
May,302
dead,301
die,301
Here's,300
We're,300
nigga,300
"today,",300
based,300
across,299
polls,299
members,299
they're,299
See,298
picture,298
nobody,298
strong,298
children,298
Well,297
played,296
attacks,296
order,296
day.,296
oh,296
dog,295
up.,294
April,294
rt,294
along,294
business,294
fighting,293
future,293
@ewarren,293
YOUR,292
you!,292
food,291
f…,291
political,290
#BTS,290
here.,290
room,289
inside,289
telling,288
By,287
bed,287
M,287
x,287
child,287
bro,287
omg,286
happened,286
#coronavirus,285
posted,285
15,285
Join,285
class,284
lmao,284
loved,284
ht…,284
treat,284
sign,284
Court,284
✅,284
Y’all,283
1st,283
ok,283
half,283
act,283
lose,282
Stop,282
within,282
200303,282
supposed,281
campaign,281
Man,280
yes,280
perfect,279
couple,279
cases,279
Big,279
available,279
THAT,279
became,279
"""",279
Video,278
symptoms,278
https://t.co…,278
#คมชัดลึกอวอร์ดครั้งที่16,277
instead,277
what’s,276
tornado,276
let's,276
official,276
problem,276
Another,275
train,275
Donald,275
r…,274
NOW,274
missing,273
college,273
save,273
tried,273
tonight,273
State,273
sit,273
version,272
definitely,272
yall,272
Because,272
tok,271
energy,271
NO,271
Mini,271
tik,270
Jimin,270
gun,270
Say,270
50,269
bitches,269
parents,269
hell,268
project,268
self,268
truly,268
again.,268
community,268
White,268
idk,267
Yes,267
them.,267
released,267
House,267
North,266
type,266
absolutely,265
n,265
happen,265
agree,265
me:,265
reaction,265
experience,265
Hope,265
middle,264
https:/…,264
tomorrow,264
Where,263
listening,263
level,263
deal,263
#SuperTuesday,262
yesterday,262
⠀,262
Americans,261
voted,261
@billboardcharts:,261
respect,261
choice,261
later,260
na,260
met,260
He's,260
mad,260
buying,260
Hello,260
match,259
https://t…,259
question,259
election,259
30,259
there’s,259
boys,259
wasn’t,259
corona,259
He’s,258
pick,258
outbreak,258
reply,258
ONE,258
there's,258
https://…,257
test,257
👏,257
spread,257
link,257
Her,257
17,256
Still,256
morning.,256
🥰,256
hurt,256
America,255
for…,255
office,254
spend,254
rather,254
Give,254
towards,254
control,253
situation,253
HE,253
laughing,253
https://t.co/…,252
IF,252
huge,251
felt,251
Corona,251
contact,251
🤣,251
seems,251
Maybe,250
whatever,250
mother,250
PM,250
AT,250
Im,249
lead,249
Remember,249
#MIWYPastForward,249
Music,249
gay,249
UP,249
private,249
vs,248
front,248
lack,248
11,248
Police,248
babies,248
soul,247
tag,247
needed,247
Me:,246
dream,246
super,246
it!,246
https://t.…,246
"this,",246
given,246
speak,245
aren’t,245
Or,244
police,244
killed,244
imagine,244
#…,244
Dr.,243
likely,243
X1,243
including,243
spent,243
following,243
global,242
glad,242
WITH,242
DM,242
laugh,242
Read,241
event,241
loves,241
season,241
you…,241
too.,241
https://t.c…,241
You’re,241
3rd,240
till,240
ID,239
plan,239
date,239
feels,238
4.,238
people.,238
cool,238
system,238
character,237
stupid,237
Then,237
✨,237
outside,237
wonder,236
#원잇릴레이시위중_아무도막지마,236
wearing,236
Louder,235
showing,235
app,234
gone,234
son,234
comment,234
DO,233
is…,233
Morning,233
expecting,233
r,233
News,233
#BestMusicVideo,233
"""The",233
be…,232
United,232
sounds,232
gives,232
clear,231
JUST,231
voice,231
celebrate,230
out.,230
water,230
I'd,230
China,230
simple,230
brother,230
Amazon,229
exactly,229
world.,229
walk,229
chronic,228
"Seattle,",228
HOW,228
currently,228
ones,228
Lol,228
vaccine,228
this?,227
recently,227
fall,227
luck,227
meeting,227
peace,226
Instagram,226
Chris,226
contract,225
stuff,225
enjoy,225
though,225
(and,225
Party,224
leader,224
🤔,224
establishment,224
millions,224
tweets,224
language,224
enter,224
taken,223
👀,223
BE,223
💕,223
videos,223
sing,222
judge,222
Muslims,222
#SidNaaz,221
seconds,221
primary,221
sweet,221
We’re,221
death,221
red,221
Must,220
https…,220
physic…,220
decided,220
@layulie1:,219
Any,219
himself,219
bronchitis.,219
Full,219
shot,219
president,219
longer,219
https://t.co/ewEGkLmPWy,219
that…,219
you'll,219
studying,218
car,218
interview,218
https:…,218
sound,218
East,218
race,218
debut,217
movie,217
she’s,217
minutes,217
attack,217
artist,216
:(,216
Social,216
city,216
abt,215
WHAT,215
〖,215
scared,215
sharing,215
PLEASE,215
flu,215
on…,215
message,214
wear,214
students,214
forever,214
text,213
completely,213
@pledis_17,213
animal,213
weird,213
IM,212
#BamBam,212
tho,212
confirmed,212
About,212
mood,211
holding,211
Pete,211
rich,211
broken,211
draw,211
realize,211
Sarah,211
WHO,211
sometimes,211
ya,211
wonderful,210
summer,210
Elizabeth,209
watched,209
〗,209
e…,209
dick,209
often,209
appreciate,208
ada,208
12,208
#Master,208
!!!,208
lives,208
Up,208
Also,207
National,207
"is,",207
art,207
forgot,207
"people,",207
cover,206
htt…,206
Someone,206
law,206
"ago,",206
l…,205
crush,205
@ygofficialblink,205
sending,205
#3,205
@charliekirk11:,205
pass,205
reach,204
http…,204
bts,204
basically,204
boyfriend,204
let’s,204
alone,204
💛,203
member,203
serious,203
😊,202
hearing,202
visit,202
local,202
2016,202
sense,202
you?,201
g…,201
pray,201
shit.,201
works,201
incredible,201
THEY,201
attention,201
hey,201
us.,201
Chinese,200
Everyone,200
handle,200
Daily,200
step,200
powerful,200
climate,200
drive,200
brings,200
Here’s,200
yeah,200
Korea,200
thinks,199
former,199
Which,199
near,199
Out,199
#BestLyrics,199
JIMIN,198
short,198
games,198
night.,198
NEW,197
pic,197
write,197
Lord,197
haven't,197
straight,197
website,196
eye,196
lucky,196
@YouTube,196
unfollowed,196
worked,195
known,195
Was,195
forward,194
security,194
deep,194
kalau,194
Now!,194
Tell,194
❤,194
release,194
~,194
brain,194
interviewer,193
yo…,193
questions?,193
fo…,193
tells,193
choose,193
busy,193
issue,193
turned,192
